,variant,canonical
632,rice paper sheet,puff pastry sheet
633,live lobster,lobster
634,green plantain,plantain
635,white hominy,hominy
636,yellow hominy,hominy
637,mushroom cap,portabella mushroom cap
638,smoked ham hock,ham hock
639,white chocolate curl,chocolate curl
640,lamb cutlet,chicken cutlet
641,pepperidge farm herb stuffing,prepared stuffing
642,liquid smoke flavoring,vanilla flavoring
643,beef shank,lamb shank
644,ham shank,lamb shank
645,quick cooking grit,grit
646,onion ring,pineapple ring
647,red onion ring,pineapple ring
648,squid ring,pineapple ring
649,yucca root,celery root
650,dry marsala,marsala
651,bulgur wheat,bulgar wheat
652,rice paper,parchment paper
653,endive,belgian endive
654,lobster tail,crawfish tail
655,crayfish tail,crawfish tail
656,passion fruit pulp,tamarind pulp
657,mango pulp,tamarind pulp
658,green creme de menthe,creme de menthe
659,white creme de menthe,creme de menthe
660,graham cracker square,white chocolate baking square
661,baker s unsweetened chocolate square,white chocolate baking square
662,channa dal,urad dal
663,beef suet,suet
664,pork sausage link,sweet italian sausage link
665,hot italian sausage link,sweet italian sausage link
666,cheese spread,cream cheese spread
667,i can t believe it s not butter spread,cream cheese spread
668,grapefruit section,mandarin orange section
669,lumpia skin,wonton skin
670,smoked trout,trout
671,melon ball,mozzarella ball
672,cantaloupe ball,mozzarella ball
673,watermelon ball,mozzarella ball
674,cauliflower head,garlic head
675,beef round,beef eye round
676,white chocolate baking bar,chocolate bar
677,low fat ricotta,ricotta
678,salt cod fish,tuna fish
679,french fry,frozen french fry
680,buffalo mozzarella,low fat mozzarella
681,whole milk mozzarella,low fat mozzarella
682,yeast cake,compressed yeast cake
683,black treacle,treacle
684,red caviar,black caviar
685,agar,agar agar
686,papaya nectar,guava nectar
