,variant,canonical
555,smoked trout,trout
556,beef round,beef eye round
557,white chocolate baking bar,chocolate bar
558,low fat ricotta,ricotta
559,french fry,frozen french fry
560,buffalo mozzarella,low fat mozzarella
561,whole milk mozzarella,low fat mozzarella
562,yeast cake,compressed yeast cake
563,black treacle,treacle
564,red caviar,black caviar
565,agar,agar agar
